sbox_type,trace_count,n_trials,successful_trials,full_key_success_rate_percent,avg_k0_bit_correct_percent,avg_k1_bit_correct_percent,avg_full_key_bit_correct_percent,avg_wrong_bit_count,avg_k0_recovered_count,avg_k1_recovered_count,avg_kx_recovered_count
lut_lu_6,25500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,26000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,26500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,27000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,27500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,28000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,28500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,29000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,29500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,30000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,30500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,31000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,31500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,32000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,32500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,33000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,33500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,34000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,34500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,35000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,35500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,36000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,36500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,37000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,37500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,38000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,38500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,39000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,39500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,40000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,40500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,41000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,41500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,42000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,42500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,43000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,43500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,44000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,44500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,45000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,45500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,46000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,46500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,47000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,47500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,48000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,48500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,49000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,49500,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
lut_lu_6,50000,1,1,100.0,100.0,100.0,100.0,0.0,64.0,64.0,64.0
