sbox_type,trace_count,k0_success_rate_percent,k1_success_rate_percent,full_key_success_rate_percent,known_bit_correct_percent,k0_recovered_count,k1_recovered_count,kx_recovered_count,full_key_match,targets_used,targets_skipped
lut_bilgin,550000,87.5,100.0,93.75,94.48818897637796,63,64,63,0,178,142
lut_bilgin,600000,87.5,100.0,93.75,94.48818897637796,63,64,63,0,178,142
lut_bilgin,650000,87.5,100.0,93.75,94.48818897637796,63,64,63,0,178,142
lut_bilgin,700000,87.5,100.0,93.75,94.4,61,64,61,0,193,127
lut_bilgin,750000,87.5,100.0,93.75,94.48818897637796,63,64,63,0,178,142
lut_bilgin,800000,87.5,100.0,93.75,94.4,61,64,61,0,193,127
lut_bilgin,850000,87.5,100.0,93.75,94.4,61,64,61,0,193,127
lut_bilgin,900000,87.5,100.0,93.75,94.4,61,64,61,0,193,127
lut_bilgin,950000,87.5,100.0,93.75,94.4,61,64,61,0,193,127
lut_bilgin,1000000,87.5,100.0,93.75,94.4,61,64,61,0,193,127
lut_allouzi,50000,98.4375,96.875,97.65625,97.65625,64,64,64,0,80,89
lut_allouzi,100000,98.4375,96.875,97.65625,97.65625,64,64,64,0,80,89
lut_allouzi,150000,98.4375,98.4375,98.4375,98.4375,64,64,64,0,80,89
lut_allouzi,200000,98.4375,98.4375,98.4375,98.4375,64,64,64,0,80,89
lut_allouzi,250000,98.4375,98.4375,98.4375,98.4375,64,64,64,0,80,89
lut_allouzi,300000,98.4375,98.4375,98.4375,98.4375,64,64,64,0,80,89
lut_allouzi,350000,98.4375,98.4375,98.4375,98.4375,64,64,64,0,80,89
lut_allouzi,400000,98.4375,98.4375,98.4375,98.4375,64,64,64,0,80,89
lut_allouzi,450000,98.4375,98.4375,98.4375,98.4375,64,64,64,0,80,89
lut_allouzi,500000,98.4375,98.4375,98.4375,98.4375,64,64,64,0,80,89
lut_allouzi,550000,98.4375,98.4375,98.4375,98.4375,64,64,64,0,80,89
lut_allouzi,600000,98.4375,98.4375,98.4375,98.4375,64,64,64,0,80,89
lut_allouzi,650000,98.4375,98.4375,98.4375,98.4375,64,64,64,0,80,89
lut_allouzi,700000,98.4375,98.4375,98.4375,98.4375,64,64,64,0,80,89
lut_allouzi,750000,98.4375,98.4375,98.4375,98.4375,64,64,64,0,80,89
lut_allouzi,800000,98.4375,98.4375,98.4375,98.4375,64,64,64,0,80,89
lut_allouzi,850000,98.4375,98.4375,98.4375,98.4375,64,64,64,0,80,89
lut_allouzi,900000,98.4375,98.4375,98.4375,98.4375,64,64,64,0,80,89
lut_allouzi,950000,98.4375,98.4375,98.4375,98.4375,64,64,64,0,80,89
lut_allouzi,1000000,98.4375,98.4375,98.4375,98.4375,64,64,64,0,80,89
lut_lu_4,50000,98.4375,98.4375,98.4375,98.4375,64,64,64,0,64,67
lut_lu_4,100000,98.4375,98.4375,98.4375,98.4375,64,64,64,0,60,71
lut_lu_4,150000,98.4375,98.4375,98.4375,98.4375,64,64,64,0,62,129
lut_lu_4,200000,98.4375,98.4375,98.4375,98.4375,64,64,64,0,62,129
lut_lu_4,250000,98.4375,98.4375,98.4375,98.4375,64,64,64,0,62,129
lut_lu_4,300000,98.4375,96.875,97.65625,97.65625,64,64,64,0,62,129
lut_lu_4,350000,98.4375,96.875,97.65625,97.65625,64,64,64,0,62,129
lut_lu_4,400000,98.4375,96.875,97.65625,97.65625,64,64,64,0,62,129
lut_lu_4,450000,98.4375,96.875,97.65625,97.65625,64,64,64,0,62,129
lut_lu_4,500000,98.4375,96.875,97.65625,97.65625,64,64,64,0,62,129
lut_lu_4,550000,98.4375,96.875,97.65625,97.65625,64,64,64,0,62,129
lut_lu_4,600000,98.4375,96.875,97.65625,97.65625,64,64,64,0,62,129
lut_lu_4,650000,98.4375,96.875,97.65625,97.65625,64,64,64,0,62,129
lut_lu_4,700000,98.4375,96.875,97.65625,97.65625,64,64,64,0,70,121
lut_lu_4,750000,98.4375,96.875,97.65625,97.65625,64,64,64,0,62,129
lut_lu_4,800000,98.4375,96.875,97.65625,97.65625,64,64,64,0,62,129
lut_lu_4,850000,98.4375,96.875,97.65625,97.65625,64,64,64,0,62,129
lut_lu_4,900000,98.4375,96.875,97.65625,97.65625,64,64,64,0,62,129
lut_lu_4,950000,98.4375,96.875,97.65625,97.65625,64,64,64,0,62,129
lut_lu_4,1000000,98.4375,96.875,97.65625,97.65625,64,64,64,0,62,129
lut_lu_5,50000,81.25,82.8125,82.03125,82.03125,64,64,64,0,110,100
lut_lu_5,100000,82.8125,82.8125,82.8125,82.8125,64,64,64,0,110,100
lut_lu_5,150000,82.8125,82.8125,82.8125,82.8125,64,64,64,0,110,100
lut_lu_5,200000,82.8125,82.8125,82.8125,82.8125,64,64,64,0,110,100
lut_lu_5,250000,82.8125,82.8125,82.8125,82.8125,64,64,64,0,110,100
lut_lu_5,300000,82.8125,82.8125,82.8125,82.8125,64,64,64,0,110,100
lut_lu_5,350000,82.8125,82.8125,82.8125,82.8125,64,64,64,0,110,100
lut_lu_5,400000,82.8125,82.8125,82.8125,82.8125,64,64,64,0,110,100
lut_lu_5,450000,82.8125,82.8125,82.8125,82.8125,64,64,64,0,110,100
lut_lu_5,500000,82.8125,82.8125,82.8125,82.8125,64,64,64,0,110,100
lut_lu_5,550000,82.8125,82.8125,82.8125,82.8125,64,64,64,0,110,100
lut_lu_5,600000,82.8125,82.8125,82.8125,82.8125,64,64,64,0,110,100
lut_lu_5,650000,82.8125,82.8125,82.8125,82.8125,64,64,64,0,110,100
lut_lu_5,700000,82.8125,82.8125,82.8125,82.8125,64,64,64,0,110,100
lut_lu_5,750000,82.8125,82.8125,82.8125,82.8125,64,64,64,0,110,100
lut_lu_5,800000,82.8125,82.8125,82.8125,82.8125,64,64,64,0,110,100
lut_lu_5,850000,82.8125,82.8125,82.8125,82.8125,64,64,64,0,110,100
lut_lu_5,900000,82.8125,82.8125,82.8125,82.8125,64,64,64,0,110,100
lut_lu_5,950000,82.8125,82.8125,82.8125,82.8125,64,64,64,0,110,100
lut_lu_5,1000000,82.8125,82.8125,82.8125,82.8125,64,64,64,0,110,100
lut_lu_6,50000,100.0,100.0,100.0,100.0,64,64,64,1,54,46
lut_lu_6,100000,100.0,100.0,100.0,100.0,64,64,64,1,54,46
lut_lu_6,150000,100.0,100.0,100.0,100.0,64,64,64,1,54,46
lut_lu_6,200000,100.0,100.0,100.0,100.0,64,64,64,1,54,46
lut_lu_6,250000,100.0,100.0,100.0,100.0,64,64,64,1,54,46
lut_lu_6,300000,100.0,100.0,100.0,100.0,64,64,64,1,54,46
lut_lu_6,350000,100.0,100.0,100.0,100.0,64,64,64,1,54,46
lut_lu_6,400000,100.0,100.0,100.0,100.0,64,64,64,1,54,46
lut_lu_6,450000,100.0,100.0,100.0,100.0,64,64,64,1,54,46
lut_lu_6,500000,100.0,100.0,100.0,100.0,64,64,64,1,54,46
lut_lu_6,550000,100.0,100.0,100.0,100.0,64,64,64,1,54,46
lut_lu_6,600000,100.0,100.0,100.0,100.0,64,64,64,1,54,46
lut_lu_6,650000,100.0,100.0,100.0,100.0,64,64,64,1,54,46
lut_lu_6,700000,100.0,100.0,100.0,100.0,64,64,64,1,54,46
lut_lu_6,750000,100.0,100.0,100.0,100.0,64,64,64,1,54,46
lut_lu_6,800000,100.0,100.0,100.0,100.0,64,64,64,1,54,46
lut_lu_6,850000,100.0,100.0,100.0,100.0,64,64,64,1,54,46
lut_lu_6,900000,100.0,100.0,100.0,100.0,64,64,64,1,54,46
lut_lu_6,950000,100.0,100.0,100.0,100.0,64,64,64,1,54,46
lut_lu_6,1000000,100.0,100.0,100.0,100.0,64,64,64,1,54,46
lut_lu_7,50000,95.3125,100.0,97.65625,97.65625,64,64,64,0,53,46
lut_lu_7,100000,93.75,98.4375,96.09375,96.09375,64,64,64,0,55,69
lut_lu_7,150000,95.3125,100.0,97.65625,97.65625,64,64,64,0,53,46
lut_lu_7,200000,95.3125,100.0,97.65625,97.65625,64,64,64,0,53,46
lut_lu_7,250000,93.75,98.4375,96.09375,96.09375,64,64,64,0,55,69
lut_lu_7,300000,93.75,98.4375,96.09375,96.09375,64,64,64,0,55,69
lut_lu_7,350000,93.75,98.4375,96.09375,96.09375,64,64,64,0,55,69
lut_lu_7,400000,93.75,98.4375,96.09375,96.09375,64,64,64,0,55,69
lut_lu_7,450000,93.75,98.4375,96.09375,96.09375,64,64,64,0,55,69
lut_lu_7,500000,93.75,98.4375,96.09375,96.09375,64,64,64,0,55,69
lut_lu_7,550000,93.75,98.4375,96.09375,96.09375,64,64,64,0,55,69
lut_lu_7,600000,93.75,98.4375,96.09375,96.09375,64,64,64,0,55,69
lut_lu_7,650000,93.75,98.4375,96.09375,96.09375,64,64,64,0,55,69
lut_lu_7,700000,93.75,98.4375,96.09375,96.09375,64,64,64,0,55,69
lut_lu_7,750000,93.75,98.4375,96.09375,96.09375,64,64,64,0,55,69
lut_lu_7,800000,93.75,98.4375,96.09375,96.09375,64,64,64,0,55,69
lut_lu_7,850000,93.75,98.4375,96.09375,96.09375,64,64,64,0,55,69
lut_lu_7,900000,93.75,98.4375,96.09375,96.09375,64,64,64,0,55,69
lut_lu_7,950000,93.75,98.4375,96.09375,96.09375,64,64,64,0,55,69
lut_lu_7,1000000,93.75,98.4375,96.09375,96.09375,64,64,64,0,55,69
